pealkiri;nimetus
Tulumaksuseadus1;Deklaratsiooni A1 esitamine. Mitteresidendi ja lepingulise investeerimisfondi Eestis saadud tulu, millelt ei ole tulumaksu kinni peetud, deklaratsiooni esitamine
Tulumaksuseadus1;Deklaratsiooni E1 esitamine. Mitteresidendi Eestis ettevõtlusest saadud tulu deklaratsiooni esitamine
Tulumaksuseadus1;Deklaratsiooni V1 esitamine. Mitteresidendi ja lepingulise investeerimisfondi Eestis asuva vara võõrandamisest saadud kasu deklaratsiooni esitamine
Tulumaksuseadus1;Deklaratsiooni MM esitamine. Madala maksumääraga territooriumil asuva juriidilise isiku tulu deklareerimine
Tulumaksuseadus1;Deklaratsiooni MM Lisa esitamine. Osalused madala maksumääraga territooriumil asuvas juriidilises isikus.
Tulumaksuseadus1;Deklaratsiooni TSD esitamine. Tulu- ja sotsiaalmaksu, kohustusliku kogumispensioni makse ja töötuskindlustusmakse deklaratsiooni esitamine
Tulumaksuseadus1;Deklaratsiooni TSD lisa 1 esitamine
Tulumaksuseadus1;Deklaratsiooni TSD lisa 2 esitamine
Tulumaksuseadus1;Deklaratsiooni TSD lisa 3 esitamine. Mitteresidendist juriidilise isiku püsivast tegevuskohast väljaviidud kasumi deklareerimine
Tulumaksuseadus1;Deklaratsiooni TSD lisa 4 esitamine. Erisoodustuste deklareerimine
Tulumaksuseadus1;Deklaratsiooni TSD lisa 5 esitamine. Kingituste, annetuste ja vastuvõtukulude deklareerimine
Tulumaksuseadus1;Deklaratsiooni TSD lisa 6 esitamine. Ettevõtluse ja põhikirjalise tegevusega mitteseotud kulude ja muud väljamaksete deklareerimine
Tulumaksuseadus1;Deklaratsiooni TSD lisa 7 esitamine. Dividendid ja muude kasumieraldiste, väljamaksete omakapitalist ning nendega seotud õiguste deklareerimine
Tulumaksuseadus1;Deklaratsiooni ESD esitamine. Erijuhtude sotsiaalmaksu deklaratsiooni esitamine
Tulumaksuseadusest, sotsiaalmaksuseadusest, kogumispensionide seadusest ja töötuskindlustuse seadusest tulenevate deklaratsioonide ja tõendite vormide kinnitamine ning nende täitmise ja esitamise korrad[RT I, 19.09.2014, 2 - jõust. 01.01.2015] ;Vorm TSM. Residendist füüsilisele isikule tehtud väljamaksete, kinnipidamiste ja maksude tõend kinnitamine
Tulumaksuseadusest, sotsiaalmaksuseadusest, kogumispensionide seadusest ja töötuskindlustuse seadusest tulenevate deklaratsioonide ja tõendite vormide kinnitamine ning nende täitmise ja esitamise korrad[RT I, 19.09.2014, 2 - jõust. 01.01.2015] ;Vorm TSM MR. Mitteresidendile tehtud väljamaksete, kinnipidamiste ja maksude tõendi kinnitamine
Tulumaksuseadusest, sotsiaalmaksuseadusest, kogumispensionide seadusest ja töötuskindlustuse seadusest tulenevate deklaratsioonide ja tõendite vormide kinnitamine ning nende täitmise ja esitamise korrad[RT I, 19.09.2014, 2 - jõust. 01.01.2015] ;Vorm TSM LIF. Lepingulisele investeerimisfondile tehtud väljamaksete ja kinnipeetud tulumaksu tõendi kinnitamine
Tulumaksuseadusest, sotsiaalmaksuseadusest, kogumispensionide seadusest ja töötuskindlustuse seadusest tulenevate deklaratsioonide ja tõendite vormide kinnitamine ning nende täitmise ja esitamise korrad[RT I, 19.09.2014, 2 - jõust. 01.01.2015] ;Vorm TD. Omakapitalist tehtud väljamaksete, äriühingute ühinemisel või jagunemisel üleantud õiguste tõendi kinnitamine
Tulumaksuseadusest, sotsiaalmaksuseadusest, kogumispensionide seadusest ja töötuskindlustuse seadusest tulenevate deklaratsioonide ja tõendite vormide kinnitamine ning nende täitmise ja esitamise korrad[RT I, 19.09.2014, 2 - jõust. 01.01.2015] ;Vorm TPS. Töötaja eest tasutud täiendava kogumispensioni kindlustusmaksete ja vabatahtliku pensionifondi osakute soetamiseks makstud summade tõendi kinnitamine
Tulumaksuseadus1;Dividendiväljamaksetelt tulumaksu tasumise tõendi kinnitamine
Käibemaksuseadus1;KMD. Käibedeklaratsiooni esitamine
Käibemaksuseadus1;Vorm KMD INF. Käibedeklaratsiooni lisa esitamine
Käibemaksugrupi registreerimise kord, registreerimisavalduse vorm, registreerimise kohta tehtava maksuhalduri otsuse vorm ning käibemaksugrupi registrist kustutamise kord;Vorm KRÜ. Käibemaksugrupi registreerimisavalduse esitamine
Isiku maksukohustuslasena registreerimise avalduse vorm ja maksukohustuslase registreerimise kohta tehtava maksuhalduri otsuse vorm;Vorm KR. Käibemaksukohustuslasena registreerimise avalduse esitamine
Käibemaksuseadus1;Vorm KR. Käibemaksukohustuslasena registreerimise avalduse esitamine
Käibemaksuseadus1;Vorm PKR. Piiratud maksukohustuslasena registreerimise avalduse esitamine
Piiratud maksukohustuslasena registreerimise avalduse vorm ja registreerimise kohta tehtava maksuhalduri otsuse vorm;Vorm PKR. Piiratud maksukohustuslasena registreerimise avalduse esitamine
Käibemaksuseadus1;VD. Ühendusesisene käibe aruande esitamine
Käibemaksuseadus1;Vorm VDP. Ühendusesisese käibe muutmise aruande esitamine
NA;Hasartmängumaksu deklaratsiooni õnnemängu korraldamisel mänguautomaadil esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni õnnemängu korraldamisel mängulaual esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni õnnemängu või osavusmängu korraldamisel kaughasartmänguna esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni turniirina õnnemänguturniiri korraldamisel esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni ringmänguna õnnemänguturniiri korraldamisel esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni toto korraldamisel esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni loterii korraldamisel esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni osavusmängu korraldamisel mänguautomaadil esitamine
Hasartmängumaksu deklaratsioonide vormid ja nende täitmise kord;Hasartmängumaksu deklaratsiooni kaubandusliku loterii korraldamisel esitamine
Käibemaksuseadus1;Käibemaksukohustuslaste registrist kustutamine
Tulumaksuseadus1;Füüsilise isiku residentsuse määramine
Maksukorralduse seadus1;Mitteresidendist maksumaksja registreerimine. Avalduse R2 esitamine
Maksukorralduse seadus1;Mitteresidendist maksumaksja registriandmete muutmise, tegevuse lõpetamise või püsiva tegevuskoha likvideerimise avaldus. Vormi R4 esitamine.
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Energiatoote aktsiisideklaratsiooni esitamine
NA;Energiatoote aktsiisideklaratsiooni esitamine
NA;Ühekordse energiatoote aktsiisideklaratsiooni esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Ühekordse energiatoote aktsiisideklaratsiooni esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Alkoholi aktsiisideklaratsiooni esitamine
Aktsiisideklaratsiooni vormid ja nende täitmise kord;Alkoholi aktsiisideklaratsiooni esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Ühekordse alkoholi aktsiisideklaratsiooni esitamine
Aktsiisideklaratsiooni vormid ja nende täitmise kord;Ühekordse alkoholi aktsiisideklaratsiooni esitamine
Aktsiisideklaratsiooni vormid ja nende täitmise kord;Tubaka aktsiisideklaratsiooni esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Tubaka aktsiisideklaratsiooni esitamine
Aktsiisideklaratsiooni vormid ja nende täitmise kord;Ühekordse tubaka aktsiisideklaratsiooni esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Ühekordse tubaka aktsiisideklaratsiooni esitamine
Vabariigi Valitsuse 8. veebruari 2000. a korralduse nr 94-k „Tulumaksusoodustusega mittetulundusühingute, sihtasutuste ja usuliste ühenduste nimekiri“ muutmine ning nimekirja mittekantavate mittetulundusühingute loetelu;Tulumaksusoodustusega mittetulundusühingute ja sihtasutuste nimekirja kandmise taotlemine
Pakendiaktsiisi seadus;Pakendi aktsiisideklaratsiooni esitamine
Pakendi aktsiisideklaratsiooni vormi kehtestamine;Pakendi aktsiisideklaratsiooni esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Alkoholi liikumise ja laoseisu aruande esitamine
Aktsiisikauba liikumise ja laoseisu aruande vormid ja nende täitmise kord;Alkoholi liikumise ja laoseisu aruande esitamine
Residentsuse ja tulu saaja tõendamine välislepingu rakendamiseks;Residentsuse ja tulu saaja tõendamine välislepingu rakendamiseks
Sotsiaalmaksuseadus1;Füüsilisest isikust ettevõtja ettevõtte tegevuses osaleva abikaasa registreerimine ja registrist kustutamine
Maksukohustuslaste registri asutamine ja registri pidamise põhimäärus;EORI numbri taotlemine
Maksukorralduse seadus1;Töötamise registreerimine
Välisriigi maksukohustuslasele käibemaksu tagastamise kord ja käibemaksu tagastamiseks esitatava taotluse vorm ja humanitaarabi korras kaupa eksportivale isikule käibemaksu tagastamise kord;Ühendusevälise riigi maksukohustuslasele käibemaksu tagastamise taotlemine
Välisesindusele, diplomaadile, ühenduse institutsioonile ning NATO liikmesriigi ja muu välisriigi relvajõududele ning rahvusvahelisele sõjalisele peakorterile ning rahvusvahelisele sõjalisele õppeasutusele Eestis soetatud kaupade eest tasutud käibemaksu tagastamiseks esitatava taotluse vorm;Välisesindusele käibemaksu tagastamise  taotlemine
Välisesinduse, diplomaadi, Euroopa Ühenduse institutsiooni ning NATO liikmesriigi ja muu välisriigi relvajõudude ning rahvusvahelise sõjalise peakorteri ja rahvusvahelise sõjalise õppeasutuse poolt imporditava kauba käibemaksust vabastamise kord ja tingimused ning käibemaksu tagastamise kord ja tingimused;Välisesindusele käibemaksu tagastamise  taotlemine
Käibemaksuseadus1;Välisesindusele käibemaksu tagastamise  taotlemine
Riiklike maksude maksuvõla tasumise ajatamise kord;Maksuvõla tasumise ajatamine
Maksukorralduse seadus1;Maksuvõla tasumise ajatamine
Maksuhaldurile elektroonilisel teel esitatavate dokumentide vormingu- ja allkirjanõuded ning muud elektroonilisele teabevahetusele esitatavad nõuded maksumenetluses ja riigi-, valla- ning linnaasutuste poolt elektroonilisel teel esitatavate deklaratsioonide ja muude dokumentide nimekiri[RT I, 18.06.2013, 1 - jõust. 01.07.2013] ;E-teenuste kasutamise lepingu sõlmimine erakliendile
Maksuhaldurile elektroonilisel teel esitatavate dokumentide vormingu- ja allkirjanõuded ning muud elektroonilisele teabevahetusele esitatavad nõuded maksumenetluses ja riigi-, valla- ning linnaasutuste poolt elektroonilisel teel esitatavate deklaratsioonide ja muude dokumentide nimekiri[RT I, 18.06.2013, 1 - jõust. 01.07.2013] ;E-teenuste kasutamise lepingu sõlmimine ärikliendile
Maksuhaldurile elektroonilisel teel esitatavate dokumentide vormingu- ja allkirjanõuded ning muud elektroonilisele teabevahetusele esitatavad nõuded maksumenetluses ja riigi-, valla- ning linnaasutuste poolt elektroonilisel teel esitatavate deklaratsioonide ja muude dokumentide nimekiri[RT I, 18.06.2013, 1 - jõust. 01.07.2013] ;E-maksuameti/e-tolli teenuste kasutamiseks volituste andmine
Aktsiisikauba liikumise ja laoseisu aruande vormid ja nende täitmise kord;Tubakatoodete liikumise ja laoseisu aruande esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus1[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Tubakatoodete liikumise ja laoseisu aruande esitamine
Aktsiisikauba liikumise ja laoseisu aruande vormid ja nende täitmise kord;Kütuse liikumise ja laoseisu aruande esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus1[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Kütuse liikumise ja laoseisu aruande esitamine
Aktsiisikauba liikumise ja laoseisu aruande vormid ja nende täitmise kord;Kütuse liikumise ja laoseisu aruande esitamine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus1[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Kütuse liikumise ja laoseisu aruande esitamine
Hasartmänguseadus;Hasartmängude mängimise piirangu seadmine
Hasartmängu mängimise piirangutega isikute nimekirja asutamine ja põhimääruse kinnitamine[RT I, 08.07.2015, 8 - jõust. 01.01.2016] ;Hasartmängude mängimise piirangu seadmine
Hasartmängu mängimise piirangutega isikute nimekirja asutamine ja põhimääruse kinnitamine[RT I, 08.07.2015, 8 - jõust. 01.01.2016] ;Hasartmängude mängimise piirangu kustutamine
Hasartmänguseadus;Hasartmängude mängimise piirangu kustutamine
Alkoholi ja tubakatoodete maksumärkide kujundus, tubakatoodete maksumärkide liigid, maksumärkide väljastamise, nendest loobumise ning tubakatoodete maksumärkide lähetamise kord, maksumärkide saatelehe vorm ja selle täitmise kord;KAMM Kange alkoholi maksumärkidega toimingute tegemine
Alkoholi maksumärkide andmekogu põhimäärus;KAMM Kange alkoholi maksumärkidega toimingute tegemine
Maksumärkide tagastamisel esitatavate dokumentide loetelu;KAMM Kange alkoholi maksumärkidega toimingute tegemine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;KAMM Kange alkoholi maksumärkidega toimingute tegemine
Alkoholi ja tubakatoodete maksumärkide kujundus, tubakatoodete maksumärkide liigid, maksumärkide väljastamise, nendest loobumise ning tubakatoodete maksumärkide lähetamise kord, maksumärkide saatelehe vorm ja selle täitmise kord;Tubakatoodete maksumärkide tellimine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Tubakatoodete maksumärkide tellimine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;SADHES- Siseriiklik aktsiisisaatedokumentide haldamise elektrooniline süsteemi kasutamine
Siseriiklike aktsiisikauba saatedokumentide menetlemise kord;SADHES- Siseriiklik aktsiisisaatedokumentide haldamise elektrooniline süsteemi kasutamine
Siseriiklike aktsiisikauba saatedokumentide menetlemise kord;EMCS. Elektroonilise saatelehe eSL menetlemine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;EMCS. Elektroonilise saatelehe eSL menetlemine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;AKLA. Aktsiisikaupade liikumise andmete koondamine.
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;LIDO. Aktsiisisaatedokumentide lisadokumentide esitamine
Maksukorralduse seadus1;Notari ja kohtutäituri registreerimine
Maksukorralduse seadus1;Mitteresidendi maksuesindajale tegevusloa väljastamine
Maksukorralduse seadus1;Maksuvõla kustutamise taotlemine
Maksuvõla mahakandmise ja kustutamise kord;Maksuvõla kustutamise taotlemine
Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus[RT I 2007, 45, 319 - jõust. 01.01.2008] ;Kange alkoholi maksumärkide tellimine
Tolliseadus;Reisija deklaratsiooni esitamine
Reisija tolliformaalsuste kord, reisija deklaratsiooni vorm ja selle täitmise juhend;Reisija deklaratsiooni esitamine
Tolliseadus;Saadetise deklaratsiooni esitamine
Reisija tolliformaalsuste kord, reisija deklaratsiooni vorm ja selle täitmise juhend;Saadetise deklaratsiooni esitamine
Sularaha deklareerimise kord, sularaha deklaratsiooni vorm ja selle täitmise juhend;Sularaha deklaratsiooni esitamine
Tolliseadus;Sularaha deklaratsiooni esitamine
Reisija tolliformaalsuste kord, reisija deklaratsiooni vorm ja selle täitmise juhend;Kauba hoiustamise taotlemine
Tolliseadus;Kauba hoiustamise taotlemine
Tolliseadus;Maksusumma tasumise tähtaja pikendamise loa taotlemine
Täiendavad juhised kauba sisenemis- ja väljumisformaalsuste teostamiseks1;Sisenemisdeklaratsiooni esitamise loa taotlemine
Tolliseadus;Tolliterminali pidamise loa taotlemine
Tolliseadus;Hoiukoha pidamise loa taotlemine
Tolliseadus;Tolliagentuuri tegevusloa taotlemine
Tolliseadus;Tollideklaratsiooni SAD esitamine
Tolliseadus;Tollideklaratsiooni TSAD esitamine
Tolliseadus;Tollideklaratsiooni TSAD LoI esitamine
Tolliseadus;Kaupade liikumissertifikaadi taotlemine
Tolliseadus;Päritolusertifikaadi GSP vorm A esitamine
Tolliseadus;Teabesertifikaadi INF 4 esitamine
Tolliseadus;Liikumissertifikaat EUR-MED
Tolliseadus;Tolliväärtuse deklaratsiooni D.V.1 esitamine
Tolliseadus;SSD Lol. Julgeoleku ja turvalisuse dokumendi esitamine
Tolliseadus;SSD Lol. Julgeoleku ja turvalisuse kaubanimekirja esitamine
Tolliseadus;ESS. Ekspordi/julgeoleku ühtse haldusdokumendi esitamine
Tolliseadus;ESS Lol. Ekspordi/julgeoleku kaubanimekirja esitamine
Tolliseadus;Kala ja muude meresaaduste ühenduse tollistaatuse tõendamise vihik T2M
Tolliseadus;Türgist imporditud kaupade tollistaatuse tõendamine A.TR.
Tolliseadus;Üldtagatise sertifikaadi TC 31 taotlemine
Tolliseadus;Tagatisest vabastamise sertifikaadi TC 33 taotlemine
Tolliseadus;Diplomaatilise kauba deklaratsiooni esitamine
Tolliseadus;Rahvusvahelise sõjalise peakorteri/välisriigi relvajõudude liikme deklaratsiooni esitamine
Tolliseadus;Väljaspoolt ELi püsivalt Eestisse elama asuva füüsilise isiku isiklikele asjadele maksuvabastuse taotlemine
Tolliseadus;Tollimaksu tagasimaksmise ja vähendamise taotlemine
Maksukorralduse seadus1;Eesti käibemaksukohustuslase numbri otsimine
Käibemaksuseadus1;Eesti käibemaksukohustuslase numbri otsimine
Täiendavad juhised kauba sisenemis- ja väljumisformaalsuste teostamiseks1;Väljumise kinnitamise loa taotlemine
Tolliseadus;Vabatsoonis tegutsemise loa taotlemine
Käibemaksuseadus1;Taotlus käibedeklaratsiooni esitamiseks paberil
Käibemaksuseadus1;Taotlus kalendrikuust pikema maksustamisperioodi kehtestamiseks
Käibemaksuseadus1;Maksuhalduritl sisendkäibemaksu mahaarvamise korra taotlemine
Käibemaksuseadus1;Taotlus kalendriaasta kestel maksustatava käibe ja kogu käibe muutmiseks
Käibemaksuseadus1;Taotlus maksustatava käibe ja kogu käibe suhte määramiseks
Käibemaksuseadus1;Taotlus maksustatava või maksuvaba käibe tarbeks soetatud kauba või saadud teenuse sisendkäibemaksu mahaarvamiseks
